, Movie 1, Movie 2, Movie 3, Movie 4, Movie 5, Movie 6, Movie 7, Movie 8, Movie 9, Movie 10, Movie 11, Movie 12, Movie 13, Movie 14, Movie 15, Movie 16, Movie 17, Movie 18, Movie 19, Movie 20, Movie 21, Movie 22, Movie 23, Movie 24, Movie 25, Movie 26, Movie 27, Movie 28, Movie 29, Movie 30
User 1, -1, Thu, Tue, Mon, -1, -1, -1, Tue, Sun, -1, Sat, Mon, Sat, Mon, Fri, Mon, -1, Tue, Mon, Thu, Thu, Thu, -1, -1, Sun, Sat, -1, Wed, Wed, Thu
User 2, Mon, Wed, Mon, Sat, Sat, Thu, -1, Mon, Fri, Thu, Fri, -1, Fri, Sat, Thu, Wed, -1, Sun, Wed, Thu, -1, Sun, -1, Mon, Mon, Fri, -1, Sun, Tue, Wed
User 3, Tue, Wed, Sat, Tue, Sat, Mon, -1, Thu, Wed, Thu, Fri, -1, Mon, Wed, Sun, Mon, Tue, Mon, Tue, -1, Tue, -1, Wed, Thu, Tue, Thu, Wed, Wed, -1, Sun
User 4, Mon, -1, Wed, -1, -1, Sun, Sat, Mon, Mon, Wed, -1, -1, -1, -1, -1, Sat, Fri, Wed, Thu, Sat, -1, Sun, Fri, Sat, Thu, Sat, Fri, Fri, Sat, Sun
User 5, Thu, Fri, Wed, Fri, Mon, Thu, Sat, Tue, Thu, Fri, Wed, Tue, -1, Sun, Fri, Mon, Sun, Mon, Sun, Mon, Fri, Fri, Mon, -1, Wed, Mon, Sat, -1, Wed, -1
User 6, Mon, -1, Tue, Sat, Fri, Fri, Mon, Sun, -1, Thu, Tue, Wed, Wed, Sat, Fri, Tue, Thu, Wed, Mon, -1, Thu, -1, Wed, Wed, -1, Wed, Sun, Thu, Sat, Mon
User 7, Thu, Tue, Sat, Fri, Sun, Sun, Fri, Wed, Mon, -1, Mon, -1, Fri, Sat, Tue, Sat, -1, -1, Mon, Thu, Tue, Sun, Sun, Tue, Wed, -1, Fri, Tue, Wed, Wed
User 8, -1, Sun, Fri, Sat, Fri, Thu, Thu, Tue, Sat, Wed, -1, Sat, -1, Fri, Mon, Thu, Wed, -1, Wed, Sat, -1, Sat, Fri, Tue, Fri, Sun, Thu, -1, Sun, Wed
User 9, Sat, Sun, Thu, Thu, Tue, Wed, Mon, Tue, Sat, Mon, Mon, Thu, Sun, Sun, -1, -1, Sun, -1, Tue, Sun, Wed, Wed, Tue, -1, Fri, Thu, Fri, Wed, Sun, Mon
User 10, Sun, -1, Tue, -1, Mon, Fri, Thu, Tue, Thu, Fri, -1, Thu, Thu, Fri, -1, Tue, Thu, Wed, Tue, Thu, Thu, Tue, Sun, Thu, Thu, Sun, Sat, Tue, -1, Mon
User 11, -1, Sun, -1, Sun, Fri, Thu, Tue, Thu, Thu, -1, Thu, Thu, Mon, Mon, Sun, -1, -1, Sun, Wed, Wed, Sun, -1, Tue, Sun, Mon, Fri, Sat, Sat, Tue, Thu
User 12, Sun, Tue, Sat, -1, Sat, -1, Wed, Wed, Sat, Tue, -1, Sat, Sun, Sun, Sat, Thu, Fri, Wed, Mon, -1, Thu, Wed, Fri, Sun, Thu, Thu, Wed, Mon, Wed, Mon
User 13, Mon, Tue, Fri, Sat, Fri, Thu, Mon, Sun, Thu, Wed, Thu, Thu, Wed, Sat, Sat, Mon, -1, -1, Mon, Mon, Thu, Tue, Sat, -1, Thu, Tue, -1, Sun, Wed, Wed
User 14, Sat, Fri, Mon, -1, Thu, Wed, Mon, -1, -1, Sun, Sun, Sat, Sun, Sat, Wed, -1, Wed, Sun, Tue, Fri, Sat, Sat, Wed, Sat, Mon, -1, Wed, Sat, Thu, Sun
User 15, Sat, Fri, Fri, Tue, Sat, -1, Mon, Sat, Fri, Mon, -1, -1, Wed, Sat, Fri, Wed, Thu, Tue, Fri, -1, Sun, Fri, Sat, Sat, Tue, Thu, -1, -1, Mon, Sun
User 16, Tue, Sat, Thu, Sun, Sat, Wed, Sun, -1, Mon, Thu, Tue, -1, Sat, Thu, Fri, Mon, Tue, Thu, Mon, Fri, Tue, Fri, Tue, -1, Tue, Sat, Thu, Tue, Sat, Sat
User 17, Fri, Sun, -1, -1, Thu, Fri, -1, -1, Wed, Thu, -1, -1, Sat, Fri, Mon, Wed, Fri, -1, Sat, Tue, Thu, Tue, Mon, Sun, Mon, -1, Sun, Fri, Wed, Mon
User 18, Fri, Sat, Thu, Thu, Mon, Thu, Tue, Sat, Wed, Sun, -1, Tue, Tue, Sat, Sat, Tue, Fri, Tue, Tue, Thu, -1, Thu, Fri, Wed, Wed, Mon, Mon, Tue, -1, Mon
User 19, Tue, Sun, Wed, Sun, Sun, Wed, -1, -1, Sat, Wed, Mon, Tue, -1, Wed, Fri, Wed, -1, -1, Mon, Mon, Fri, Fri, Tue, Thu, -1, Sat, Sun, Sun, Sat, Wed
User 20, Wed, -1, Sun, Mon, -1, -1, Mon, -1, Wed, -1, Tue, Sat, Mon, Sat, Mon, Thu, -1, Sat, Sun, Tue, -1, Sat, Wed, Tue, -1, Fri, Thu, Mon, Fri, Tue
User 21, -1, Thu, Thu, Sat, Sat, Thu, Thu, Sat, Fri, Fri, Fri, Sat, Wed, Mon, Wed, Thu, Fri, -1, -1, Tue, -1, Tue, Wed, Wed, Sat, Mon, Sun, Sat, Sun, -1
User 22, Fri, Fri, Tue, -1, Mon, -1, Fri, Wed, Tue, Sun, Thu, Sat, Wed, Mon, Tue, Thu, -1, -1, Sun, Sat, Sun, Wed, Mon, -1, -1, Fri, Mon, Fri, Thu, -1
User 23, Fri, Mon, -1, Thu, Sat, -1, -1, Wed, -1, Wed, Sat, Wed, Tue, Mon, Sun, Wed, Thu, Fri, Wed, Thu, -1, -1, Wed, Sat, Tue, -1, Thu, Mon, Thu, Thu
User 24, Fri, Thu, Mon, -1, Sun, Thu, Sat, Wed, Wed, Mon, Sat, -1, Mon, Thu, Sat, Tue, Tue, Fri, -1, Thu, Thu, Sun, Mon, Sun, Wed, Mon, Fri, Thu, Fri, Wed
User 25, Thu, Wed, -1, Fri, Mon, -1, Thu, Thu, Fri, Mon, Tue, Tue, Wed, Thu, -1, Tue, Sat, Wed, Thu, Fri, Tue, -1, Thu, Sat, Mon, -1, Thu, Fri, Sat, Sat
User 26, Sun, Sat, -1, Wed, -1, Mon, Wed, -1, Wed, Mon, Wed, Mon, Tue, Thu, Mon, Fri, Sun, Sat, Mon, Tue, Mon, Wed, Tue, Sat, Thu, -1, Thu, Sat, Mon, -1
User 27, Sun, Fri, Thu, -1, Mon, Tue, Wed, Tue, Fri, -1, Sun, Wed, Sat, -1, Sun, Fri, -1, Fri, Sun, Thu, -1, Mon, Tue, Sun, -1, Sun, Wed, Thu, Sat, Mon
User 28, -1, -1, Mon, Wed, Fri, Mon, Tue, Mon, -1, Wed, -1, Wed, Thu, Fri, Fri, Wed, Thu, Sun, Thu, Thu, Sun, Wed, Mon, Tue, Tue, Thu, Fri, Sun, Tue, Mon
User 29, Sat, Mon, Sat, Sat, Sun, Sun, Thu, Sun, Fri, Tue, -1, Mon, Sat, Sun, Tue, Mon, -1, Fri, Wed, Sun, Tue, -1, Fri, Sat, Sat, Wed, Sun, -1, Mon, -1
User 30, Sun, Sun, Fri, Wed, Sat, Tue, Fri, Thu, Wed, Sat, Tue, Mon, -1, -1, Thu, Sun, Sat, Mon, Sun, Mon, Sat, Fri, Tue, Thu, Tue, Thu, Fri, Sun, Thu, Wed
User 31, Fri, Tue, Sat, Thu, Mon, Fri, Mon, Tue, Sat, Sat, Sun, Sun, -1, Wed, Sat, Sat, -1, Thu, Mon, Thu, Wed, Sat, Sat, Sat, Tue, Sat, Sun, Tue, Wed, -1
User 32, Mon, Mon, Fri, Sun, Mon, Sun, Fri, Thu, Mon, -1, Fri, Sun, Wed, Mon, Fri, Sun, Sun, Wed, Tue, Mon, Mon, Thu, -1, Tue, Thu, Mon, Sat, Tue, Thu, -1
User 33, Sat, Sat, Mon, Tue, Fri, Thu, Wed, Mon, Wed, Sat, Sat, Mon, Mon, -1, -1, Sat, Wed, Sat, -1, Thu, Mon, Thu, Wed, Thu, Thu, -1, Fri, Sun, Tue, Wed
User 34, -1, Sat, -1, -1, Mon, -1, Sat, Wed, Wed, Sun, Sun, Mon, Mon, Fri, Mon, Wed, Sun, Sat, -1, Sat, Tue, Thu, Sat, -1, Mon, Mon, Tue, Thu, Sun, Thu
User 35, Fri, -1, Sun, Thu, Sun, Thu, Tue, Thu, Sat, Fri, -1, Tue, Sat, Sat, -1, Tue, -1, Sat, -1, -1, Sun, Sun, Sat, Sun, Sun, Fri, Mon, -1, Fri, Sat
User 36, Wed, Tue, -1, Sun, Thu, Thu, Sat, Sun, Tue, Sun, Fri, Fri, Wed, Sun, Mon, -1, -1, -1, Sat, -1, -1, Tue, Fri, Thu, Sat, Sun, Thu, Thu, Sun, Sat
User 37, -1, Fri, -1, Wed, Fri, Mon, Fri, Mon, Fri, Mon, Sun, Fri, -1, Thu, Tue, Thu, Fri, Sat, Sat, Tue, Tue, Fri, -1, Fri, -1, Sun, Sun, Wed, Sun, -1
User 38, Mon, -1, Tue, Sun, Thu, Sun, Fri, -1, Thu, Tue, Thu, -1, Thu, Mon, Tue, Wed, Sun, Sun, Tue, Fri, Thu, Fri, Sun, -1, Fri, Tue, Sun, -1, -1, Mon
User 39, Sat, -1, Mon, -1, Thu, Mon, Mon, -1, Mon, Sat, Wed, Wed, Sat, -1, -1, Tue, Tue, Fri, Wed, Fri, Thu, Mon, Sat, Sun, Sun, Thu, Fri, Wed, Fri, Sat
User 40, -1, Fri, Tue, Mon, Fri, -1, Sun, Thu, -1, Tue, Tue, Thu, Sun, Sun, Tue, Wed, Wed, Wed, Tue, Fri, Mon, Tue, Sat, Sun, Sun, Tue, Wed, Mon, Sun, Thu
